City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Grand River South East,MU,-20.3428,57.7575,79.05,78,40,8.05,light rain
221,Amderma,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
222,Fairbanks,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
223,Sentyabrskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
224,Pangai,TO,-21.2,-175.2,82.56,89,75,4.61,broken clouds
225,Ilulissat,GL,77.484,-69.3632,-6.45,69,7,7.43,clear sky
226,Kayerkan,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
227,Vanimo,PG,-2.0226,147.2712,82.65,82,100,16.08,overcast clouds
228,Mitu,CO,1.1983,-70.1733,73.42,97,42,2.26,light rain
229,Cochrane,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
230,Levelland,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
231,Severo-Kurilsk,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
232,Rio Grande,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
233,Kavieng,PG,-2.0226,147.2712,82.65,82,100,16.08,overcast clouds
234,Nanakuli,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
235,Balakhta,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
236,Yongan,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
237,Santo Amaro Da Imperatriz,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
238,Blagodatnoye,RU,45.3997,42.5867,41.92,66,0,17.05,clear sky
239,Lugazi,UG,0.3772,32.9197,65.7,95,100,1.86,light rain
240,Fort Nelson,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
241,Kahului,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
242,Lavrentiya,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
243,Maghama,MR,18.0858,-15.9785,82.33,36,3,14.67,clear sky
244,Lamas,PE,-13.7,-76.2167,68.05,77,0,21.85,clear sky
245,Ribeira Grande,PT,39.05,-27.9833,59.34,82,100,13.62,overcast clouds
246,Tete,MZ,-16.1564,33.5867,77.09,83,40,3.44,scattered clouds
247,Lohardaga,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
248,Buraydah,SA,25.0213,37.2685,85.03,28,83,10.49,broken clouds
249,Portadown,GB,52.6083,1.7305,38.44,88,41,15.84,scattered clouds
250,Narsaq,GL,77.484,-69.3632,-6.45,69,7,7.43,clear sky
251,Sao Francisco,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
252,Rehoboth,NA,-22.9575,14.5053,58.08,82,0,8.05,clear sky
253,Fort Myers Beach,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
254,Nizhneyansk,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
255,Bhinga,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
256,Kuche,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
257,Illoqqortoormiut,GL,77.484,-69.3632,-6.45,69,7,7.43,clear sky
258,Aksu,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
259,Hinesville,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
260,Victor Harbor,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
261,Puerto Baquerizo Moreno,EC,-0.7393,-90.3518,79.52,82,25,6.82,scattered clouds
262,Natal,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
263,Imbituba,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
264,Victoria Point,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
265,Port Lincoln,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
266,Shaunavon,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
267,Mantua,CU,22.3411,-80.2667,82.4,69,80,11.05,broken clouds
268,Oktyabrskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
269,Shingu,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
270,Nouadhibou,MR,18.0858,-15.9785,82.33,36,3,14.67,clear sky
271,Touros,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
272,Nea Alikarnassos,IT,45.653,8.6336,52.25,80,0,3.44,clear sky
273,Saint-Augustin,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
274,Constitucion,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
275,Hammerfest,NO,70.3705,31.1107,31.59,69,45,15.59,scattered clouds
276,Olafsvik,IS,63.8424,-22.4338,30.15,68,75,5.75,broken clouds
277,Lakatoro,VU,-16.0999,167.4164,84.18,75,98,9.13,overcast clouds
278,Yelan,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
279,Ciudad Del Maiz,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
280,Mount Gambier,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
281,Skelleftea,SE,64.7507,20.9528,25.16,69,100,5.75,overcast clouds
282,Yar-Sale,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
283,Andenes,NO,70.3705,31.1107,31.59,69,45,15.59,scattered clouds
284,Bridgwater,GB,52.6083,1.7305,38.44,88,41,15.84,scattered clouds
285,Saint-Pierre,RE,-21.3393,55.4781,75.9,77,75,8.05,broken clouds
286,Giurgeni,RO,44.7667,27.8833,47.84,89,100,5.14,overcast clouds
287,Port Hardy,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
288,Asuncion,PY,-25.3007,-57.6359,74.89,78,75,6.91,broken clouds
289,Tepalcatepec,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
290,Jaisalmer,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
291,Pueblo Bello,CO,1.1983,-70.1733,73.42,97,42,2.26,light rain
292,Gadwal,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
293,Zhanakorgan,RU,50.6309,38.6903,44.71,77,14,7.2,few clouds
294,Georgetown,US,42.097,-79.2353,43.52,78,100,10.36,overcast clouds
295,Morehead,PG,-2.0226,147.2712,82.65,82,100,16.08,overcast clouds
296,Samarai,PG,-2.0226,147.2712,82.65,82,100,16.08,overcast clouds
297,Belushya Guba,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
298,Vallenar,CL,-45.5752,-72.0662,50.61,87,20,3.44,few clouds
299,Te Anau,NZ,-46.6,168.3333,56.3,62,76,28.79,broken clouds
300,Zyryanka,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
301,High Rock,BS,26.6208,-78.2833,80.62,82,94,17.34,overcast clouds
302,Itarema,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
303,Labuhan,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
304,Quatre Cocos,MU,-20.3428,57.7575,79.05,78,40,8.05,light rain
305,Buin,PG,-2.0226,147.2712,82.65,82,100,16.08,overcast clouds
306,College Place,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
307,Neiafu,TO,-21.2,-175.2,82.56,89,75,4.61,broken clouds
308,Tieling,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
309,Nome,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
310,Halifax,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
311,Cumberland,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
312,Saint George,US,37.1041,-113.5841,80.94,9,0,3.0,clear sky
313,Bac Lieu,VN,13.0833,109.3,72.46,85,98,8.68,overcast clouds
314,Kloulklubed,TL,-8.9266,125.4092,68.41,61,97,1.19,overcast clouds
315,Lokot,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
316,Cabo San Lucas,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
317,Goundam,ML,16.4145,-3.6708,89.02,12,3,17.16,clear sky
318,Rosita,NI,13.9268,-84.4032,81.59,65,87,7.11,overcast clouds
319,Lebu,CL,-45.5752,-72.0662,50.61,87,20,3.44,few clouds
320,Tomatlan,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
321,Abu Dhabi,AE,24.4667,54.3667,78.96,59,0,2.3,clear sky
322,Bakel,SN,12.485,-16.5469,77.18,65,52,8.41,broken clouds
323,Omsukchan,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
324,Caravelas,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
325,Norrtalje,SE,64.7507,20.9528,25.16,69,100,5.75,overcast clouds
326,Nyurba,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
327,Naze,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
328,Faxinal,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
329,Dikson,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
330,Shenzhen,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
331,Bilibino,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
332,Sungaipenuh,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
333,Deputatskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
334,Opuwo,NA,-22.9575,14.5053,58.08,82,0,8.05,clear sky
335,Shashi,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
336,Chillicothe,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
337,Namibe,AO,-8.5785,13.6643,73.96,98,100,1.68,light rain
338,Grenada,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
339,Bermeo,ES,39.8885,4.2658,57.76,72,0,10.36,clear sky
340,Piryion,IT,45.653,8.6336,52.25,80,0,3.44,clear sky
341,Piacabucu,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
342,Port Blair,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
343,Naryan-Mar,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
